domain,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526,10000000,0,1,11757,225,0,0,0,9,1,1
www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,10000000,0,0,0,81,0,0,0,15,2,1
serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/,10000000,0,1,3288,177,0,0,0,16,1,1
mail.printakid.com/www.online.americanexpress.com/index.html,10000000,0,1,5844,60,0,0,0,18,2,1
thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/,10000000,0,1,4018,116,0,1,0,19,1,1
smilesvoegol.servebbs.org/voegol.php,10000000,0,1,5844,36,0,0,0,25,2,1
premierpaymentprocessing.com/includes/boleto-2via-07-2012.php,10000000,0,1,4383,61,0,0,0,28,1,1
myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php,10000000,0,1,365,60,0,0,0,19,1,1
super1000.info/docs,10000000,0,0,0,19,0,0,0,14,1,1
horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b,10000000,0,1,1461,193,0,0,0,19,1,1
phlebolog.com.ua/libraries/joomla/results.php,10000000,0,0,0,45,0,0,0,16,2,1
docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ,1,0,1,11322,79,0,0,0,15,2,1
www.coincoele.com.br/Scripts/smiles/?pt-br/Paginas/default.aspx,10000000,0,0,0,63,0,0,0,20,3,1
www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php,10000000,0,0,0,59,0,0,0,29,2,1
perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/,10000000,0,0,0,64,0,0,0,24,1,1
lingshc.com/old_aol.1.3/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1,10000000,0,0,0,72,0,0,0,11,1,1
anonymeidentity.net/remax./remax.htm,10000000,0,0,0,36,0,0,0,19,1,1
dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html,10000000,0,1,731,53,0,0,0,20,2,1
www.avedeoiro.com/site/plugins/chase/,10000000,0,0,0,37,0,0,0,17,2,1
