,domain,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
86595,www.bitpipe.com/rlist/term/Windows-2000.html,66661,0,1,8765,44,0,0,0,15,2,0
14247,www.facebook-aktivasyon.tk/aktivasyon.php,10000000,0,0,0,41,0,0,1,26,2,1
19244,steamvalve.hut2.ru/,10000000,0,1,5478,19,0,0,0,18,2,1
1253,www.erzurumsarkinsaat.com.tr/templates/villa/images/procedimento/,10000000,0,0,0,65,0,0,0,28,3,1
55085,www.net-ads.com/sponsorship/,10000000,0,1,8035,28,0,0,1,15,2,0
17770,postepay-24.id1945.com/lair/index.html?MfcISAPICommand=SignInFPP&amp;UsingSSL=1&amp;email=&amp;userid,10000000,0,1,3287,101,0,0,1,22,2,1
52120,www.experience.com/alumnus/epronet,34831,0,1,9131,34,0,0,0,18,2,0
18231,esxcc.com/js/index.htm?ref=ttztfkbus.battle.net/d3/en/index,10000000,0,1,4749,59,0,0,0,9,1,1
42795,us.battle.net-bizzard-d3-com.account-com.net/,10000000,0,0,0,45,0,0,1,44,4,1
25863,paypal.com.update-account-information-webscrcmdaccountnav-0.04fs6sd54s3dv3sd7dvs369sdv13s25ef4d4ew7c52a65aef21v3f2t6dsfs.sophro-millau.com/update/information/webscrcmdflowSESSION.nBFNzG.S.3T0j7cmGPoMFY/login/account/04888466824a1dae9eb156a07c8339cd/info.html,10000000,0,1,731,258,0,0,1,138,5,1
44410,bearbens.com/KXgbf8OPLMo/webscrprim.php?YmVhcmJlbnMuY29tuhOTG57kUJHNN54221oPLKj988777AOP784MTM1ODAwNjA1MQ=,10000000,0,1,1095,106,0,0,0,12,1,1
4296,www.csbetaonline.9hz.com/,10000000,0,1,6574,25,0,0,0,24,3,1
67191,tools.ietf.org/html/rfc1328,14969,0,1,9133,27,0,0,0,14,2,0
23666,docs.google.com/spreadsheet/viewform?formkey=dHZDcUNITzQxV2tnR1NzclQwYi1pNWc6MQ,1,0,1,11322,79,0,0,0,15,2,1
30160,iomex.eu/paypalaccounte/secure-code23/home/619c20babd193de9311b2f6e23f0cdbf/,10000000,0,0,0,76,0,0,0,8,1,1
84522,www.tek-tips.com/threadminder.cfm?pid=65,14680,0,1,8400,40,0,0,1,16,2,0
46633,probi.si/plugins/tmp/hmrc/refundportal.htm,10000000,0,0,0,42,0,0,0,8,1,1
3487,cmzn7vnzs.blogspot.com/,11,0,1,7305,23,0,0,0,22,2,1
67858,tools.ietf.org/html/rfc2087,14969,0,1,9133,27,0,0,0,14,2,0
90091,www.flypig.co.uk/dnload.htm#buttonbar,10000000,0,0,0,37,0,0,0,16,3,0
18674,almightystudio.com/googledocs/googledocs/,10000000,0,1,4383,41,0,0,0,18,1,1
11931,shorinji-kempo.org.ua/paypal.com/www.paypal.com.paypal.login.uk-us.update.info/webscr.php?cmd=_login-done&amp;login_access=a09f78704ef2ab157cc3dee79e284998,10000000,0,0,0,155,0,0,1,21,2,1
90084,www.chiark.greenend.org.uk/~theom/riscos/hardback/,14194,0,0,0,50,0,0,0,26,4,0
61696,packetlife.net/library/cheat-sheets/,152016,0,1,4749,36,0,0,0,14,1,0
6208,tharts.net/images/?ref=us.battle.net/d3/en/indexapp=com-d3,10000000,0,0,0,58,0,0,0,10,1,1
73911,www.codefoot.com/delphi/,10000000,0,1,6940,24,0,0,0,16,2,0
83347,www.interaktonline.com/Products/Dreamweaver-Extensions/,10000000,0,1,6210,55,0,0,0,22,2,0
66569,tools.ietf.org/html/rfc604,14969,0,1,9133,26,0,0,0,14,2,0
15469,rekrims.com/PLO5XIde/webscr_prim.php?cmVrcmltcy5jb20=uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM1MjQwMTQxNQ==,10000000,0,0,0,113,0,0,0,11,1,1
69650,www.scanman.net/starnet/,10000000,0,1,7670,24,0,0,0,15,2,0
75999,www.bultreebank.org/clark/,10000000,0,1,8034,26,0,0,0,19,2,0
92597,www.tigerden.com/TigerMUCK/,10000000,0,1,10956,27,0,0,0,16,2,0
8667,www.vaner2006.com/paypal/index.html,10000000,0,1,731,35,0,0,0,17,2,1
93530,www-personal.umich.edu/~fazzari/Amber/Wendi/WendiGame.html,3309,0,0,0,58,0,0,1,22,2,0
89316,www.macdevcenter.com/pub/a/mac/2003/10/29/osxcon_g5cluster.html,390935,0,1,6574,63,0,0,0,20,2,0
59802,math.nist.gov/~RBoisvert/,14972,0,0,0,25,0,0,0,13,2,0
71809,www.unisoftplus.com/uspexpress/,10000000,0,1,8401,31,0,0,0,19,2,0
48168,www.smokeybear.com/vault/default.asp,66040,0,1,8765,36,0,0,0,18,2,0
8991,pastehtml.com/view/bbhu1i9t1.html,44061,0,1,4017,33,0,0,0,13,1,1
87684,www.functionx.com/powerpoint/,52877,0,1,8035,29,0,0,0,17,2,0
10638,paypal.com.cgi-bin.webscr.login120g98.1lajm.net/paypal/paypal/run/cmd/login/246af3ec6938c190ba0eb2368893a2bb,10000000,0,1,365,108,0,0,1,47,6,1
