ranking,isIp,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
10000000,0,26,0,0,0,16,2,0
52853,0,57,0,0,0,33,2,1
10000000,0,37,0,0,0,17,1,0
10000000,0,38,0,0,0,13,1,0
1411,0,52,0,0,0,19,2,0
10000000,0,200,0,0,0,19,3,1
420818,0,38,0,0,0,15,2,1
8419,0,30,0,0,0,15,2,0
10000000,0,166,0,0,0,14,2,1
10000000,0,29,0,0,0,14,2,0
10000000,0,35,0,0,1,18,2,1
10000000,0,67,0,0,0,13,2,1
10000000,0,45,0,0,0,25,3,0
10000000,0,36,0,0,0,18,2,0
12535,0,24,0,0,0,15,2,0
927996,0,43,0,0,0,24,2,0
477582,0,32,0,0,0,10,2,0
10000000,0,40,0,0,0,31,1,1
12437,0,44,0,0,0,21,4,0
4570,0,371,0,0,1,45,2,1
1471,0,32,0,0,0,18,2,0
10000000,0,61,0,1,1,23,2,1
12809,0,46,0,0,0,14,2,0
10000000,0,43,0,1,0,19,2,1
10000000,0,22,0,0,0,21,2,1
10000000,0,97,0,0,1,37,4,1
10000000,0,29,0,0,0,16,2,0
10000000,0,104,0,0,0,15,2,1
105921,0,26,0,0,0,12,2,0
10000000,0,41,0,0,0,19,3,0
65255,0,30,0,0,0,14,2,0
10000000,0,87,0,0,0,18,1,1
10000000,0,45,0,0,1,23,1,1
10000000,0,29,0,0,0,15,2,0
10000000,0,43,0,0,0,13,3,1
10000000,0,27,0,0,0,17,3,0
10000000,0,203,0,0,0,24,1,1
10000000,0,25,0,0,0,15,2,0
10000000,0,42,0,0,0,24,3,1
10000000,0,103,0,0,0,30,5,1
10000000,0,20,0,0,0,11,2,0
10000000,0,79,0,0,0,13,1,1
10000000,0,259,0,0,0,16,3,1
124234,0,206,0,0,1,27,2,1
74446,0,39,0,0,0,22,2,0
6,0,47,0,0,0,16,2,0
10000000,0,57,0,0,0,16,2,1
6,0,44,0,0,0,16,2,0
10000000,0,26,0,0,0,19,2,0
10000000,0,153,0,0,0,119,13,1
10000000,0,28,0,0,0,14,1,0
10000000,0,65,0,0,0,13,1,1
211730,0,33,0,0,0,15,2,0
10000000,0,31,0,0,0,21,2,0
10000000,0,20,0,0,0,19,2,1
10000000,0,113,0,0,0,11,1,1
6052,0,39,0,0,0,16,2,0
10000000,0,32,0,0,0,13,3,0
10000000,0,254,0,0,1,213,14,1
10000000,0,72,0,0,1,35,6,1
10000000,0,24,0,0,0,11,1,0
10000000,0,39,0,0,1,19,2,1
10000000,0,29,0,0,1,17,2,0
278702,0,44,0,0,0,20,3,0
10000000,0,82,0,0,0,11,1,1
48975,0,42,0,0,0,19,4,0
726958,0,35,0,0,0,16,3,0
10000000,0,26,0,0,0,9,1,1
10000000,0,39,0,0,0,21,1,1
648912,0,35,0,0,0,17,2,0
9621,0,57,0,0,0,20,2,0
10000000,0,33,0,0,0,18,2,0
10000000,0,62,0,0,0,29,1,1
10000000,0,30,0,0,0,15,2,0
582750,0,43,0,0,0,20,4,0
10000000,0,33,0,0,0,22,2,0
10000000,0,84,0,0,1,39,5,1
10000000,0,50,0,0,1,12,1,1
10000000,0,33,0,0,0,24,2,1
10000000,0,38,0,0,0,16,3,0
10000000,0,104,0,0,1,27,1,1
8998,0,46,0,0,0,14,2,0
10000000,0,49,0,0,0,22,2,1
1465,0,83,0,0,0,12,2,1
10000000,0,31,0,0,0,18,3,0
490893,0,34,0,0,0,15,2,0
176321,0,56,0,0,0,18,2,0
10000000,0,21,0,0,0,15,1,0
4570,0,345,0,0,1,45,2,1
10000000,0,103,0,0,0,30,5,1
10000000,0,34,0,0,0,27,3,1
10000000,0,68,1,0,1,24,1,1
1267,0,35,0,0,0,21,2,0
10000000,0,59,0,0,0,14,2,1
10000000,0,37,0,0,0,28,3,0
10000000,0,55,0,0,1,22,1,0
10000000,0,51,0,0,0,14,2,1
10000000,0,52,0,0,0,21,1,1
10000000,0,26,0,0,0,20,2,0
10000000,0,34,0,0,0,26,2,0
10000000,0,82,0,0,0,9,1,1
10000000,0,42,0,0,0,11,1,1
348773,0,33,0,0,0,21,2,0
4570,0,371,0,0,1,45,2,1
10000000,0,55,0,0,0,13,1,1
10000000,0,39,0,0,0,20,2,0
10000000,0,25,0,0,0,12,2,0
10000000,0,103,0,0,0,30,5,1
10000000,0,48,0,0,1,19,2,1
10000000,0,177,0,0,0,18,1,1
49877,0,41,0,0,0,18,2,1
10000000,0,158,0,0,1,26,5,1
2547,0,33,0,0,0,17,2,0
10000000,0,40,0,0,0,13,1,0
10000000,0,120,0,0,0,19,3,1
1373,0,39,0,0,0,14,2,0
10000000,0,40,0,0,0,16,2,0
1471,0,41,0,0,0,21,2,0
10000000,0,32,0,0,0,14,3,0
10000000,0,28,0,0,0,15,2,1
10000000,0,104,0,0,0,15,2,1
10000000,0,37,0,0,0,19,2,0
10000000,0,36,0,0,0,10,1,0
10000000,0,72,0,0,0,22,2,1
10000000,0,26,0,0,0,12,1,1
17156,0,40,0,0,0,11,2,0
10000000,0,51,0,0,0,29,3,1
10000000,0,40,0,0,0,21,2,0
10000000,0,22,0,0,1,12,1,0
151871,0,15,0,0,0,10,2,0
319,0,25,0,0,1,21,3,0
4,0,37,0,0,0,16,2,0
10000000,0,36,0,0,0,22,2,1
10000000,0,83,0,0,0,9,1,1
187291,0,47,0,0,0,16,2,0
10000000,0,75,0,0,1,32,4,1
10000000,0,21,0,0,0,11,2,0
14680,0,41,0,0,1,16,2,0
6332,0,64,0,0,0,18,4,0
4387,0,113,0,0,0,21,2,0
10000000,0,18,0,0,0,13,2,0
10000000,0,131,0,0,0,10,1,1
10000000,0,75,0,0,0,13,1,1
10000000,0,15,0,0,0,14,1,1
10000000,0,32,0,0,0,18,2,0
10000000,0,23,0,0,0,12,2,0
410588,0,45,0,0,0,11,2,0
10000000,0,59,0,0,0,17,1,1
10000000,0,28,0,0,0,12,1,0
10000000,0,33,0,0,0,14,2,0
10000000,0,24,0,0,0,16,1,1
9356,0,31,0,0,0,15,2,0
325871,0,26,0,0,0,15,2,0
8060,0,33,0,0,0,17,1,0
10000000,0,102,0,0,0,24,2,1
6,0,37,0,0,0,16,2,0
10000000,0,42,0,0,0,14,3,1
576,0,43,0,0,1,14,2,0
10000000,0,52,0,0,0,24,1,1
10000000,0,21,0,0,0,13,2,0
98662,0,49,0,0,0,14,2,0
4,0,37,0,0,0,21,3,0
2514,0,83,0,0,0,21,3,0
10000000,0,186,0,0,1,176,9,1
801,0,51,0,0,0,13,2,0
105649,0,45,0,0,0,15,2,0
10000000,0,44,0,0,1,23,1,1
10000000,0,198,0,0,1,185,12,1
10000000,0,29,0,0,0,28,2,1
10000000,0,141,0,0,0,17,2,1
10000000,0,64,0,0,0,16,1,1
28511,0,33,0,0,0,20,2,0
10000000,0,59,0,0,0,19,2,0
10000000,0,63,0,0,0,14,2,1
10000000,0,49,0,0,0,8,1,1
10000000,0,104,0,0,0,32,2,1
10000000,0,47,0,0,0,19,3,1
10000000,0,30,0,0,0,19,2,1
118554,0,26,0,0,0,20,2,1
10000000,0,49,0,0,0,24,1,1
18729,0,44,0,0,0,19,4,0
14969,0,27,0,0,0,14,2,0
924631,0,50,0,0,0,17,2,0
929978,0,24,0,0,0,13,2,0
10000000,0,35,0,0,0,17,2,0
10000000,0,250,0,0,1,78,8,1
4387,0,65,0,0,0,23,2,0
6270,0,63,0,0,1,19,2,0
10000000,0,39,0,0,0,13,1,1
10000000,0,114,0,0,0,11,1,1
10000000,0,82,0,0,1,39,5,1
234740,0,26,0,0,0,16,2,0
10000000,0,47,0,0,0,12,2,0
10000000,0,82,0,0,0,36,2,1
63602,0,23,0,0,0,14,2,0
24977,0,24,0,0,0,16,3,0
10000000,0,110,0,0,0,8,1,1
10000000,0,120,0,0,0,22,1,1
10000000,0,24,0,0,0,16,2,0
10000000,0,47,0,0,1,46,1,1
10000000,0,91,0,0,0,14,2,1
10000000,0,30,0,0,0,21,2,0
10000000,0,87,0,0,0,18,1,1
356608,0,22,0,0,0,13,3,0
105,0,35,0,0,0,13,2,0
14969,0,26,0,0,0,14,2,0
183,0,29,0,0,0,16,2,1
10000000,0,50,0,0,0,15,1,1
10000000,0,29,0,0,0,18,2,0
10000000,0,37,0,0,0,18,1,1
14969,0,27,0,0,0,14,2,0
31379,0,30,0,0,0,23,4,0
10000000,0,188,0,0,0,15,1,1
168,0,29,0,0,0,15,1,0
10000000,0,45,0,0,0,13,2,0
10000000,0,71,0,0,0,29,4,1
10000000,0,40,0,0,0,20,3,0
14969,0,27,0,0,0,14,2,0
14969,0,27,0,0,0,14,2,0
10000000,0,78,0,0,0,23,4,1
10000000,0,101,0,0,0,11,1,1
10000000,0,54,0,0,0,16,2,0
2547,0,40,0,0,0,17,2,0
1104,0,29,0,0,0,18,2,0
463099,0,44,0,0,0,13,2,0
10000000,0,90,0,0,0,14,1,1
10000000,0,58,0,0,0,12,3,0
