domain,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
openssh.free.fr/index.html.en,251,0,0,0,29,0,0,0,15,2,0
www.bjdjwy.com/Images/?app=com-d3&amp;us.battle.net/login/en/?ref=ygrkybnus.battle.net/d3/en/index,10000000,0,1,5113,98,0,0,0,14,2,1
t.womenwan.com/game/images/tlcs/148-onepw/index.swf?act=www.yaowan.com/webads_reg.php&amp;amp;amp;sendparam=&recom_man=kr02&recom_2=juncheng&openerstr=kr02&material_id=148-onepw&plat=yw&game=tlcs&district=0&sip=183.60.136.227&debug=&amp;amp;amp;game=tlcs&amp;amp;amp;mid=148-onepw&amp;amp;amp;opener=kr02&amp;amp;amp;plat=yw&amp;amp;amp;p=tlcs@^@148-onepw@^@kr02@^@yw@^@juncheng@^@cpm&amp;amp;amp;00278013,3054,0,1,3653,405,1,0,0,14,2,1
allpaydayloaninusa139.allpaydayloaninusa.com/~camkh/us/webscr-cmd/login/submit-dispatch/5885d80a13c0d/b1f8e263663d3faee8dcbcd55a50598f04d34b4bf53056870803/rs2/,10000000,0,0,0,159,0,0,0,44,2,1
wilirots.biz/rayT2dkhg1m69qc53050/bS5ib25pYWtvd3NreUB0LW9ubGluZS5kZQ==/xDEsdR/cGF0cmljYW5zLmNvbQ=Message-ID:,10000000,0,0,0,108,0,0,0,12,1,1
jimstroker.com/wp-content/themes/theme1373/includes/ssl/5e026aea35f609e4e109314acbc46efa/,10000000,0,0,0,89,0,0,0,14,1,1
code.google.com/p/twitterbook/,1,0,1,11322,30,0,0,0,15,2,0
www161.paypal.ca.59533.securessl-180.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP161,10000000,0,0,0,97,0,0,1,39,5,1
mall.360yxt.com/statics/im/banc/,10000000,0,1,1461,32,0,0,0,15,2,1
necsi.org/education/exec/,10000000,0,1,9130,25,0,0,0,9,1,0
e7dfe2.com/images/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;pfwpfbdamp;ssl=0&amp;dest,10000000,0,0,0,101,0,0,0,10,1,1
ishantech.net/onlinebilling.telstra.com.au/billing/action/payment/onlinepayment/accountNum/2000050653706/,10000000,0,0,0,105,0,0,0,13,1,1
www.explan.co.uk/bible/HolyB.html,10000000,0,0,0,33,0,0,0,16,3,0
colopex.com/wp-content/EveniaBanking/45694GTVIK4549B/DKFINANCE/NordeA/base64/Nordea/,10000000,0,0,0,84,0,0,0,11,1,1
particula3d.com/wp-content/plugins/HSBC/index.php?id=IVA6TODIOG6E6YPJ4HBOBL94ORF4VEGB92E79TU5YW920OVGZFDUR22PZ5GX631UOOOCWOOXITKW9L4022BSJWQUOLMK21DJ52XRCIAHZABZYS9DCCPCV4IT01UQ755JEVF3IYOTM14SRVMQFSJXI46FMSINNODKTHZD,10000000,0,0,0,217,0,0,0,15,1,1
www.contimassa.com.br/js/,10000000,0,1,7305,25,0,0,0,21,3,1
www.hobbiesandgames.com/Elixir_p/mfg0493.htm,10000000,0,1,9131,44,0,0,0,23,2,0
www.itmweb.com/f031098.htm,10000000,0,1,9861,26,0,0,0,14,2,0
www.fwtwr.com/fwtwr/,10000000,0,1,6940,20,0,0,0,13,2,0
phantasmal.sourceforge.net/DGD/,168,0,1,7670,31,0,0,0,26,2,0
www.apple.com/buy/,51,0,1,12420,18,0,0,0,13,2,0
www.limelyfe.com/templates/city_savannah/img/index.php,10000000,0,1,3653,54,0,0,0,16,2,1
www.gkjx168.com/images/?us.battle.net/login/en/?ref=uqpzemuus.battle.net/d3/en/index&amp;app=com-d3,10000000,0,1,3288,99,0,0,0,15,2,1
www-cse.ucsd.edu/users/rik/MLIA.html,8354,0,0,0,36,0,0,1,16,2,0
developer.berlios.de/projects/soul/,38756,0,0,0,35,0,0,0,20,2,0
www887.paypal.ca.78630.securessl-910.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,10000000,0,0,0,84,0,0,1,39,5,1
usamein.com/zindex/companyprofile/trader.htm,10000000,0,1,366,44,0,0,0,11,1,1
fy.chalmers.se/~appro/nt/TXMouse/,84384,0,0,0,33,0,0,0,14,2,0
staffwww.dcs.shef.ac.uk/people/Y.Wilks/,31048,0,0,0,39,0,0,0,23,4,0
www.zzjwhz.com/js//,10000000,0,1,1461,19,0,1,0,14,2,1
www.freewebs.com/cartref589/,5001,0,1,8035,28,0,0,0,16,2,0
stary.zielonyogrodek.pl/PP/webscr.php?cmd=_login-run&amp;amp;amp;dispatchX85d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e563283bbc3171917c440c8558c050c52663283bbc3171917c440c8558c050c526,840572,0,0,0,200,0,0,0,23,2,1
esxcc.com/js/index.htm?us.battle.net/login/en/?ref=fxtzjrvus.battle.net/d3/en/index&amp;amp,10000000,0,1,4749,91,0,0,0,9,1,1
bradtsics.com/zDcntrlde/_webscr.php?nxEXEC=d2Vic2NyX3ByaW0ucGhwP254RVhFQz1kMlZpYzJOeUxuQm9jRDlqYldSZlBXMWxiV0psY2k1MlpYSnBabms9&sdr01=bWVAMjBkYXlzZHVsbC5kZQ=,10000000,0,0,0,157,0,0,0,13,1,1
www.laoxuetang.com/js?us.battle.net/login/en/?ref=qfgleplus.battle.net/d3/en/index&amp;app=com-d3,10000000,0,1,1827,97,0,0,0,18,2,1
www.disappearing-computer.net/projects/FICOM.html,10000000,0,1,6939,49,0,0,1,29,2,0
www.righto.com/pilot/tv.html,338198,0,1,8035,28,0,0,0,14,2,0
political-voice.co.uk/script.php,10000000,0,0,0,32,0,0,1,21,2,1
h30097.www3.hp.com/unix/security-download.html,275,0,1,12420,46,0,0,0,18,3,0
nhshsvhgvshjsdbvvbsdhnsdvh.ias3.com/configs/index.html,55576,0,1,3653,54,0,0,0,35,2,1
members.tripod.com/~fantasian/,1267,0,1,9496,30,0,0,0,18,2,0
www.topix.com/rss/business/chemicals.xml,1057,0,1,10959,40,0,0,0,13,2,0
www.pcworld.com/businesscenter/article/159204/top_10_reasons_to_use_outlook.html,1282,0,1,10228,80,0,0,0,15,2,0
musiclessonz.com/rebol_tutorial.html,10000000,0,1,5844,36,0,0,0,16,1,0
linuxconsultant.info/tutorials/routing_firewall.html,10000000,0,1,4017,52,0,0,0,20,1,0
games.groups.yahoo.com/group/vtmsuccubusnightclub/,4,0,1,10228,50,0,0,0,22,3,0
theheropost.com/img/ssltd1.php,10000000,0,1,365,30,0,0,0,15,1,1
bradtsics.org/pCntrlch/webscr.php?cmd_=session.start&sdr01=aW12cy5raW5rQHQtb25saW5lLmRl,10000000,0,0,0,87,0,0,0,13,1,1
www.ibm.com/developerworks/webservices/library/co-pyxp1/,576,0,1,12419,56,0,0,0,11,2,0
legalbridgesc.com/wp-content/plugins/zgoooecafxx/batchdeteftps.html,10000000,0,0,0,67,0,0,0,17,1,1
en.wikipedia.org/wiki/The_Settlers_of_Catan,6,0,1,8035,43,0,0,0,16,2,0
ps2.ign.com/articles/324/324580p1.html,339,0,1,10226,38,0,0,0,11,2,0
www.thsoftware.com/pokerstat/,10000000,0,0,0,29,0,0,0,18,2,0
www.gkjx168.com/images/?http,10000000,0,1,3288,28,0,0,0,15,2,1
www.qcislands.net/docdon/,10000000,0,0,0,25,0,0,0,17,2,0
games.groups.yahoo.com/group/werewolftheapocalypse/,4,0,1,10228,51,0,0,0,22,3,0
membres.multimania.fr/gourine/,10000000,0,0,0,30,0,0,0,21,2,0
www.panix.com/~sos/mini/woodwars.html,289109,0,1,10594,37,0,0,0,13,2,0
www.dsoft.com.tr/stripmail/,10000000,0,0,0,27,0,0,0,16,3,0
tools.ietf.org/html/rfc1713,14969,0,1,9133,27,0,0,0,14,2,0
lot.fr/css/paypal.it/paypal.it/paypal.it/https/cgi-bin/webscrcmd\%3D_login-run/webscrcmd\%3D_account-run/updates-paypal/confirm-paypal/,10000000,0,0,0,135,0,0,0,6,1,1
