,domain,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
20930,www.mamtodlouhy.cz/media/system/images/modal/Archives/notify.php,10000000,0,0,0,64,0,0,0,18,2,1
81522,www.softwinter.com/storagetools.html,10000000,0,1,8400,36,0,0,0,18,2,0
63847,groups.yahoo.com/group/palace-announce/,4,0,1,10228,39,0,0,0,16,2,0
93707,www.angelfire.com/de3/dndownloads/homepage,2547,0,1,8035,42,0,0,0,17,2,0
86207,linuxmafia.com/bale/,10000000,0,1,8400,20,0,0,0,14,1,0
38249,bestglobalstudy.com/Servizio/PayPal/IT./,10000000,0,0,0,40,0,0,0,19,1,1
67641,tools.ietf.org/html/rfc1828,14969,0,1,9133,27,0,0,0,14,2,0
59850,www.cse.iitd.ernet.in/~naveen,723511,0,0,0,29,0,0,0,21,4,0
43600,bestcostco.com/southwest/,10000000,0,1,366,25,0,0,0,14,1,1
56845,www.rugreview.com/6easturk.htm,10000000,0,1,9133,30,0,0,0,17,2,0
35571,www.youlose.com.br/image/Remax2/Remax/,10000000,0,0,0,38,0,0,0,18,3,1
48691,clublambpage.com/clairclublambs/index.html,10000000,0,1,7670,42,0,0,0,16,1,0
89535,groups.yahoo.com/group/simputer/,4,0,1,10228,32,0,0,0,16,2,0
34484,intatv.com.ua/modules/mod_system/3671596902/793540354/,10000000,0,0,0,54,0,0,0,13,2,1
6769,www.shandycorner.com//wp-includes/js/jquery/ui/index.php,10000000,0,1,2922,56,0,1,0,20,2,1
39368,www.blh-pamekasan.info/wells.html,10000000,0,0,0,33,0,0,1,22,2,1
5802,comatina.com/jcs/login.5885d80a13c0db1f8e263663d3faee8db2b24f7b84f18193/b0da6a5ca26d863edbec77cab552d70f/,10000000,0,1,3288,105,0,0,0,12,1,1
3977,tibiacommunity.w.interia.pl/,646,0,1,9131,28,0,0,0,27,3,1
87705,www.gnu.org/software/toutdoux/,6125,0,1,9861,30,0,0,0,11,2,0
32191,u409885.sendgrid.org/wf/click?upn=mNPg4VILQiOkmoKUdhpLMVvjKNnpR14XyxXaOBwuks8-3D_zJRyVTDbIvXfDXdVs4GEqDtTP-2FFdA3oyvi5uz0vJKN-2Bv6DrONi4k3-2Bep-2Fb3UK2svK-2Frvtj3xQfSpdosFcmcbQyIkervNwWd3PfXkyDhK0YncpOwzsMzihYWdbKTEXbYd0DZHwP9w-2F4WJ7g89PjT-2Fg9JEhkEca4xc6f1-2F9tyvrhQ-3D,52185,0,1,4018,271,0,0,0,20,2,1
57039,www.epa.gov/opptintr/dfe/pubs/garment/ctsa/docs/chap4.pdf,6751,0,0,0,57,0,0,0,11,2,0
71858,www.silkwebware.net/products/details.aspx?id=9dc1eacf-db1b-479c-88f2-26aad4314d75,10000000,0,1,6940,81,0,0,0,19,2,0
69565,home.iprimus.com.au/selliot/aislingweb/,74798,0,0,0,39,0,0,0,19,3,0
78713,spazioinwind.libero.it/vbprogzone/main.html,245,0,0,0,43,0,0,0,22,2,0
19930,hdtpaper.com/js/?ref=us.battle.net/d3/en/index,10000000,0,1,4018,46,0,0,0,12,1,1
62386,www.quamada.com/indexcentre.html,10000000,0,1,5844,32,0,0,0,15,2,0
86410,www.simotime.com/sim4dzip.htm,10000000,0,1,8036,29,0,0,0,16,2,0
76835,www.algonet.se/~khaan/tutor/,10000000,0,0,0,28,0,0,0,14,2,0
93079,laxspyder.tripod.com/hawkeyeisland.htm,1267,0,1,9496,38,0,0,0,20,2,0
54233,www.bentley.edu/cbe/,118427,0,0,0,20,0,0,0,15,2,0
85960,sources.redhat.com/insight/,6055,0,1,9496,27,0,0,0,18,2,0
75395,www.sybase.com/products/archivedproducts/powerj,38784,0,1,12416,47,0,0,0,14,2,0
14868,www.desiofernandez.com.ar/wp-content/themes/nightynight-10/PayPal-Us/paypal/webscr.htm,10000000,0,0,0,86,0,0,0,25,3,1
46458,visiycl.com/,10000000,0,0,0,12,0,0,0,11,1,1
87693,www.clydesoft.com/TimeToProject.html,10000000,0,1,10226,36,0,0,0,17,2,0
7746,fifa13cheats.blogspot.com/,11,0,1,7305,26,0,0,0,25,2,1
59896,www.cs.ucr.edu/~stelo/,11001,0,0,0,22,0,0,0,14,3,0
48472,groups.yahoo.com/group/ND_Dairygoats/,4,0,1,10228,37,0,0,0,16,2,0
40656,9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cpqgixDJPsRKXayy_Wbs6mpMt4vowZeHuhSZx2PJPdO1LDy4t3mRtV9Xsaf5rp7paJ4i4lkk3KrLbFBCViOcT-U8EPph8LarC8DNdkkxY4gVoTaY1jeLDkc1ab3N9ZfLRyjjf_2zBxTwFM8Lk9cF8nH4v-TI3M_E_iGjnrpb8zFQ9ff1lgsMaxT2V7WxbhO7G6WGC_qq7v_yVCafOcpd-zXi1_1xA\%3D\%3D&amp;attredirects=0,4570,0,1,6939,369,0,0,1,44,2,1
5106,bit.ly/YrRcSP,3832,0,0,0,13,0,0,0,6,1,1
53158,www.westerninstruments.com/about/,10000000,0,1,8766,33,0,0,0,26,2,0
81204,www.greyolltwit.com/wallpaper/easterwp.html,889853,0,1,6940,43,0,0,0,19,2,0
